Progeny Sire Dam
1 0 0
2 0 0
3 0 0
4 0 0
5 0 0
6 0 0
7 0 0
8 0 0
9 0 0
10 0 0
11 0 0
12 0 0
13 0 0
14 0 0
15 0 0
16 0 0
17 0 0
18 0 0
19 0 0
20 0 0
21 0 0
22 0 0
23 0 0
24 0 0
25 0 0
26 0 0
27 0 0
28 0 0
29 0 0
30 0 0
31 0 0
32 0 0
33 0 0
34 0 0
35 0 0
36 0 0
37 0 0
38 0 0
39 0 0
40 0 0
41 0 0
42 0 0
43 0 0
44 0 0
45 0 0
46 0 0
47 0 0
48 0 0
49 0 0
50 0 0
51 0 0
52 0 0
53 0 0
54 0 0
55 0 0
56 0 0
57 0 0
58 0 0
59 0 0
60 0 0
61 0 0
62 0 0
63 0 0
64 0 0
65 0 0
66 0 0
67 0 0
68 0 0
69 0 0
70 0 0
71 0 0
72 0 0
73 0 0
74 0 0
75 0 0
76 0 0
77 0 0
78 0 0
79 0 0
80 0 0
81 0 0
82 0 0
83 0 0
84 0 0
85 0 0
86 0 0
87 0 0
88 0 0
89 0 0
90 0 0
91 0 0
92 0 0
93 0 0
94 0 0
95 0 0
96 0 0
97 0 0
98 0 0
99 0 0
100 0 0
101 0 0
102 0 0
103 0 0
104 0 0
105 0 0
106 0 0
107 0 0
108 0 0
109 0 0
110 0 0
111 0 0
112 0 0
113 0 0
114 0 0
115 0 0
116 0 0
117 0 0
118 0 0
119 0 0
120 0 0
121 7 92
122 7 99
123 7 113
124 7 48
125 7 30
126 10 51
127 10 86
128 10 65
129 10 67
130 10 89
131 16 27
132 16 91
133 16 71
134 16 71
135 16 59
136 16 29
137 19 35
138 19 54
139 19 61
140 19 66
141 19 108
142 4 32
143 4 40
144 4 90
145 4 69
146 4 26
147 12 38
148 12 115
149 12 85
150 12 85
151 12 93
152 12 62
153 15 112
154 15 118
155 15 116
156 15 80
157 15 81
158 3 117
159 3 98
160 3 73
161 3 34
162 3 43
163 11 23
164 11 31
165 11 36
166 11 72
167 11 106
168 6 111
169 6 49
170 6 47
171 6 39
172 6 76
173 20 56
174 20 104
175 20 63
176 20 84
177 20 57
178 5 42
179 5 88
180 5 110
181 5 28
182 5 44
183 13 114
184 13 33
185 13 70
186 13 21
187 13 109
188 18 83
189 18 60
190 18 41
191 18 102
192 18 120
193 9 82
194 9 50
195 9 97
196 9 79
197 9 64
198 8 68
199 8 87
200 8 46
201 8 74
202 8 24
203 17 105
204 17 77
205 17 45
206 17 37
207 17 96
208 14 94
209 14 25
210 14 53
211 14 52
212 14 100
213 1 119
214 1 107
215 1 101
216 1 22
217 1 95
218 2 58
219 2 103
220 2 75
221 2 75
222 2 78
223 2 55
224 136 182
225 136 79
226 136 131
227 136 80
228 136 65
229 7 62
230 7 69
231 7 36
232 7 46
233 7 56
234 211 31
235 211 81
236 211 218
237 211 218
238 211 86
239 211 103
240 174 95
241 174 124
242 174 24
243 174 47
244 174 115
245 11 104
246 11 52
